so2_data_quality,atmospheric_variability,aerosol_optical_depth
21,65.49,0.312
21,10.0,0.291
21,40.05,0.297
21,27.37,0.293
21,0.1,0.29
21,6.11,0.277
21,18.33,0.282
21,7.58,0.311
22,90.93,0.396
22,91.48,0.486
22,99.99,1.13
22,63.87,0.582
21,0.16,0.318
22,3.88,0.308
22,-0.18,0.298
21,22.88,0.292
22,4.0,0.284
22,3.72,0.277
22,4.65,0.285
22,-5.51,0.296
22,-1.74,0.303
22,-1.6,0.294
22,-3.21,0.29
22,12.05,0.289
22,8.18,0.291
22,16.89,0.289
22,2.29,0.295
22,-15.29,0.303
22,9.98,0.304
22,4.47,0.297
22,15.5,0.292
22,28.5,0.295
22,15.29,0.285
22,22.1,0.272
22,-15.65,0.271
22,-10.81,0.269
22,15.04,0.257
22,-19.12,0.265
22,39.59,0.269
22,59.95,0.272
22,47.67,0.23
22,21.04,0.241
22,44.5,0.196
22,-25.49,0.2
22,14.9,0.269
22,-7.27,0.275
22,-70.01,0.314
22,-59.66,0.304
22,-17.12,0.316
22,14.87,0.307
22,1.68,0.308
22,1.83,0.303
22,-0.07,0.323
22,5.92,0.316
22,-12.21,0.315
22,-0.59,0.308
22,5.36,0.32
22,-0.79,0.335
22,-23.79,0.322
22,-15.56,0.321
22,-7.59,0.318
22,2.93,0.314
22,13.91,0.315
22,5.49,0.317
22,-7.83,0.32
22,6.21,0.318
22,-3.98,0.313
22,2.17,0.311
21,-8.46,0.307
22,-8.91,0.303
21,3.02,0.304
21,-5.92,0.301
21,5.4,0.297
21,-1.1,0.291
21,-1.2,0.286
21,6.9,0.281
21,-2.71,0.276
21,10.75,0.273
21,6.61,0.272
21,5.35,0.268
21,15.2,0.263
21,8.22,0.259
21,3.93,0.261
21,3.36,0.256
21,4.13,0.254
21,25.72,0.26
21,7.26,0.263
21,3.52,0.261
21,8.66,0.26
21,12.17,0.257
21,5.76,0.256
21,12.8,0.254
21,2.0,0.252
21,-2.94,0.246
21,7.49,0.241
21,3.13,0.241
21,5.29,0.242
21,11.11,0.239
21,0.31,0.235
21,12.72,0.234
21,11.32,0.234
21,8.16,0.234
21,16.95,0.231
21,11.69,0.225
21,11.33,0.225
21,16.79,0.22
21,8.15,0.218
21,7.93,0.213
21,6.76,0.211
21,7.96,0.21
21,7.48,0.203
21,10.99,0.196
21,6.87,0.196
21,11.88,0.193
21,5.65,0.193
21,7.01,0.19
21,5.72,0.183
21,6.44,0.182
21,2.28,0.178
21,4.77,0.178
21,17.83,0.179
21,11.98,0.178
21,6.91,0.18
21,11.99,0.178
21,14.22,0.174
21,10.25,0.173
21,10.56,0.172
21,12.77,0.171
21,14.26,0.169
21,15.89,0.165
21,22.55,0.163
21,10.82,0.168
21,8.09,0.166
21,6.01,0.171
21,2.51,0.164
21,-4.6,0.157
21,-0.2,0.157
21,8.01,0.163
21,4.05,0.154
21,9.14,0.153
21,12.86,0.155
21,11.59,0.15
21,3.71,0.15
21,10.96,0.149
21,5.52,0.15
21,17.06,0.152
21,19.83,0.148
21,7.44,0.151
21,4.32,0.159
21,51.66,0.174
22,99.5,0.178
22,99.67,0.176
22,98.86,0.161
21,20.2,0.151
22,92.85,0.152
21,-4.1,0.151
21,2.71,0.144
21,2.61,0.143
21,-2.08,0.141
21,5.82,0.145
22,92.47,0.144
21,11.63,0.144
21,-0.2,0.144
22,99.4,0.149
22,97.01,0.182
22,99.96,0.214
21,14.4,0.185
21,26.22,0.168
22,97.55,0.156
21,17.66,0.146
22,98.79,0.159
21,45.98,0.185
22,99.68,0.236
22,99.03,0.241
22,99.15,0.346
22,99.66,0.399
22,99.49,0.581
22,90.5,0.764
22,96.19,0.218
21,65.43,0.197
21,21.65,0.182
22,77.15,0.173
21,13.95,0.176
22,99.57,0.176
22,97.39,0.181
22,81.45,0.175
22,99.67,0.204
22,96.95,0.202
